"RT @SenSchumer: You're going to want to make sure your friends see this:

Senators Booker, Coons, and Flake just asked for the Senate's una…"
negetive
@jg_valdes Crees que es el mejor candidato para enfrentar a Trump? Mas que Biden? o Beto?,negetive
RT @Sekusa1: 🔥They👉are🚨Incarcerated As they Broke the law👉You and Your🚨Failed Party would love to turn USA 🇺🇸 into a 3rd 🌎 country with cri…,negetive
RT @TheDemCoalition: VIDEO: Watch @SteveKerrigan discuss with @AriMelber how the Trump #InauguralSlushFund allowed just about anyone with e…,negetive
"RT @FLOTUS: Merry Christmas from President Donald J. Trump and First Lady Melania Trump. @POTUS &amp; @FLOTUS are seen Saturday, December 15, i…",negetive
RT @AmbassadorRice: In your dreams @LindseyGrahamSC.  President Obama wisely deployed forces to Syria to fight ISIS and kept them there.  W…,negetive
"RT @joncoopertweets: Donald Trump might be the dumbest president the US has ever had 

#MoronTrump  https://t.co/plBlkOeDT3",negetive
"RT @curdistani: This is historic...

#twitterkurds #Syria #Kurdistan #Trump #Ypg #Sdf #Turkey https://t.co/ksh44luQaT",negetive
I voted #BushWasBetter on @TheTylt. He really loves his country. https://t.co/EsQoN8Y1nP,negetive
"RT @markberman: ""For many security experts, the depiction of the Islamic State as 'defeated' — as President Trump declared in a Twitter pos…",negetive
@weekndvigilante @God_USA_Trump Because the woman who is the director of vaccines at the CDC is the SISTER of… https://t.co/rCNJx4iSfR,negetive
"RT @PhilippeReines: When the State Department cancels its daily briefing because it can’t explain trump’s Syria policy, it means its spokes…",negetive
"RT @tictoc: The promise: The wealthy won't benefit.

Trump: ""The rich will not be gaining at all with this plan.""

That's false. On average…",negetive
"RT @BradMossEsq: .@realDonaldTrump - “Nobody knows more about campaign finance than I do.”

So much for the @RudyGiuliani defense of “aww g…",negetive
RT @JeffPassan: Breaking: Major League Baseball and the Cuban Baseball Federation have agreed on historic deal that would allow Cuban playe…,negetive
"RT @TheBeatWithAri: Trump Organization contact with Russia ""could be"" an element of conspiracy 

""Bob Mueller is a person of complete integ…",negetive
